age,domain,current_job,degree,cs_bg,experience,avg_time,holidays,week_back,city,skills,graduated,salary,scss,typescipt,tailwind,angular,digital,computer,node,java,firebase,mongoose,graphql,query,cnn,django,next,communication,vim,git,ajax,python,linux,sql,data,dart,postman,javascript,jest,api,bootstrap,mongodb,docker,aws,vercel,go,nginx,hasura,css,jquery,socket,mysql,mui,react,express,opencv,sass,nest,ios,html,flutter,deep,redux,refine,jwt
19,MERN Stack,Full stack engineer ,No Degree,No,No,16.0,Yes,3,Others,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,9.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
23,MEAN Stack,Angular Developer ,No Degree,No,No,12.0,Yes,4,Manjeri,"Angular, Node JS, Express JS, HTML, CSS, Linux, MongoDB, Vim",Yes,4.7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
21,MERN Stack,Mern developer,Degree,Yes,No,10.0,No,4,Others,"React, Node js, html, css, bootstrap, git, Ms office, Mysql, mongodb, express js.",Yes,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
22,MERN Stack,MERN Stack developer,No Degree,No,No,10.0,No,0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
25,MEAN Stack,Software Engineer ,Degree,No,No,7.5,No,3,WFH,"Angular, Express, Node, javascript, MongoDB, Html, css",No,4.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
22,MERN Stack,Nest js developer,Degree,No,No,9.0,Yes,7,Chennai,"React,node js , nest js , express js , jest,go etc",Yes,3.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
31,Machine Learning,Machine Learning Engineer,Degree,No,No,8.0,No,0,WFH,"Python, HTML, CSS, Deep Learning, OpenCV, CNN, Computer Vision",No,5.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
22,MEAN Stack,Angular Developer,No Degree,Yes,No,8.0,Yes,7,Manjeri,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
24,MERN Stack,Jr Nodejs Developer ,Degree,No,No,10.0,No,2,Kochi,"Html,Css, Javascript,Nodejs, React, Tailwind, Mongodb,Mysql",Yes,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
19,Flutter,Flutter developer ,No Degree,No,Bca dropout ,9.0,No,0,Nagercoil ,"Dart,Api integration,",Yes,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,MERN Stack,React Developer,Degree,No,No,16.0,Yes,4,Bangalore,"React, Node, Html, CSS, SCSS, Next",Yes,3.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
22,Web Development with Django,Flutter development ,Degree,Yes,No,8.0,No,1,Kochi,"Flutter,iOS, react, django ",No,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
