,domain,designation,age,degree,cs_bg,experience,avg_time,holidays,week_back,city,graduated,mongodb,api,jwt,linux,sas,firebase,cnn,nginx,dart,postman,aws,jest,next,html,hasura,communication,vercel,django,docker,graphql,mysql,mui,opencv,python,express,flutter,ajax,vim,bootstrap,git,node,typescript,mongoose,react,tailwind,javascript,jquery,angular,sql,redux,salary
261,web development using python django + react,software development engineer,23.0,No Degree,No,No,10.0,Yes,7.0,manjeri,Yes,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,4.8
262,game development using unity,senior game developer,31.0,Degree,No,No,9.0,No,0.0,wfh,No,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,6.0
263,mobile development using flutter,junior software engineer,23.0,No Degree,No,No,13.0,Yes,2.0,bangalore,No,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,4.2
264,mobile development using flutter,junior flutter developer,21.0,Degree,Yes,No,9.0,No,4.0,calicut,Yes,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
265,mobile development using flutter,mobile developer,22.0,Degree,No,No,10.0,No,4.0,wfh,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,3.0
266,mern stack,mern stack developer,22.0,Degree,Yes,No,10.0,No,2.0,wfh,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.67
267,mern stack,software engineer,24.0,No Degree,No,No,10.0,No,0.0,bangalore,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,4.2
268,machine learning,junior software engineer,22.0,Degree,No,No,13.0,Yes,0.0,wfh,Yes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6
269,mobile development using flutter,software engineer,22.0,Degree,Yes,No,10.0,Yes,5.0,wfh,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,4.2
270,mern stack,clinical data programming associate,21.0,No Degree,Yes,No,7.0,No,7.0,others,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,4.5
271,mern stack,backend developer,22.0,Degree,Yes,No,12.0,No,1.0,bangalore,No,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,3.5
272,mern stack,mern stack developer,22.0,No Degree,No,No,10.0,No,7.0,hyderabad,No,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,4.0
273,mobile development using flutter,associate flutter developer,22.0,No Degree,Yes,No,10.0,Yes,2.0,bangalore,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,5.0
274,mobile development using flutter,junior software engineer,22.0,No Degree,Yes,No,10.0,No,7.0,bangalore,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,5.0
275,golang,software engineer,22.0,Degree,Yes,No,9.0,No,4.0,wfh,Yes,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5.5
276,web development using python django,python developer,23.0,Degree,Yes,No,12.0,Yes,2.0,wfh,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3.0
277,mobile development using flutter,junior android developer,23.0,No Degree,No,No,12.0,Yes,4.0,wfh,No,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,4.0
278,mern stack,fullstack developer,23.0,No Degree,No,No,13.0,Yes,2.0,wfh,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,4.0
279,mern stack,fullstack developer,22.0,No Degree,Yes,No,10.0,Yes,4.0,bangalore,No,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,4.2
280,mern stack,fullstack developer,22.0,Degree,No,No,12.0,Yes,3.0,wfh,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,3.6
281,web development using python django,data engineer intern,25.0,Degree,No,No,8.0,No,0.0,bangalore,No,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,2.4
282,mobile development using flutter,flutter developer,22.0,Degree,No,No,14.0,Yes,2.0,wfh,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,4.2
283,mobile development using flutter,android developer,22.0,No Degree,Yes,No,10.0,No,7.0,manjeri,Yes,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6.0
284,mern stack,software developer,22.0,Degree,Yes,No,10.0,No,4.0,wfh,Yes,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6.0
285,web development using python django,junior software developer,22.0,Degree,Yes,No,9.0,No,4.0,wfh,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6.0
286,mern stack,fullstack developer,23.0,No Degree,No,No,16.0,Yes,4.0,bangalore,Yes,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3.6
287,web development using python django,software engineer,21.0,Degree,Yes,No,12.0,No,2.0,wfh,Yes,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,3.0
288,mern stack,associate software engineer,23.0,Degree,Yes,No,10.0,No,1.0,wfh,Yes,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6.5
289,mern stack,fullstack developer,22.0,Degree,Yes,No,12.0,Yes,2.0,bangalore,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,3.6
290,mern stack,software engineer,23.0,No Degree,No,No,9.0,Yes,7.0,manjeri,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,3.6
291,mern stack,node js engineer,23.0,Degree,No,No,7.0,Yes,0.0,pune,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.2
292,golang,golang devleoper,22.0,No Degree,Yes,No,13.0,Yes,4.0,bangalore,Yes,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,5.0
293,mern stack,fullstack developer,21.0,Degree,Yes,No,12.0,No,2.0,wfh,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,4.2
294,mobile development using flutter,flutter trainer,26.0,Degree,No,No,10.0,No,1.0,wfh,No,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,4.2
295,mern stack,junior react developer,22.0,Degree,Yes,No,7.0,Yes,7.0,bangalore,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,4.8
296,mern stack,associate software engineer,22.0,Degree,No,No,10.0,No,2.0,wfh,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,4.0
297,web development using python django,python developer,22.0,No Degree,No,No,7.0,No,2.0,wfh,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,3.0
298,mern stack,junior full stack developer,22.0,No Degree,No,No,10.0,No,0.0,bangalore,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,4.2
299,mern stack,software engineer,22.0,Degree,Yes,No,10.0,No,7.0,bangalore,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,5.5
300,mobile development using flutter,mobile app developer,23.0,No Degree,Yes,No,9.0,Yes,4.0,bangalore,No,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,4.8
301,mern stack,software engineer,22.0,No Degree,No,No,10.0,No,0.0,wfh,Yes,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,5.5
302,mern stack,junior software engineer,23.0,Degree,Yes,No,10.0,Yes,2.0,wfh,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,4.5
303,mern stack,junior fullstack developer,23.0,No Degree,No,No,9.0,No,5.0,manjeri,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,3.8
304,mern stack,junior software engineer,22.0,Degree,Yes,No,7.0,Yes,7.0,manjeri,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,5.0
305,web development using python django,python full stack developer intern,24.0,Degree,No,No,10.0,No,1.0,wfh,No,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,3.0
306,mern stack,fullstack developer,23.0,Degree,Yes,No,9.0,Yes,2.0,bangalore,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.8
307,mern stack,nodejs developer,22.0,Degree,Yes,No,8.0,Yes,4.0,chennai,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.5
308,golang,associate software engineer,25.0,Degree,No,No,7.0,No,0.0,wfh,No,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,6.1
309,data science,data scientist,22.0,Degree,Yes,No,10.0,No,4.0,wfh,Yes,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
310,mobile development using flutter,flutter developer,22.0,No Degree,Yes,No,8.0,Yes,7.0,manjeri,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,5.5
311,mobile development using flutter,flutter developer,23.0,No Degree,No,No,12.0,No,1.0,bangalore,No,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,4.2
312,golang,project architect,22.0,Degree,No,No,12.0,No,2.0,wfh,No,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,6.0
313,mern stack,software development engineer i,21.0,Degree,No,No,10.0,No,2.0,wfh,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,4.2
314,mobile development using flutter,associate software engineer,25.0,No Degree,No,No,10.0,No,0.0,bangalore,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,3.6
315,mobile development using flutter,junior flutter developer,22.0,Degree,Yes,No,10.0,Yes,5.0,wfh,No,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,2.4
316,mobile development using flutter,software engineer,23.0,No Degree,No,No,9.0,No,1.0,wfh,No,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,6.0
317,mobile development using flutter,software developer,23.0,No Degree,No,No,12.0,No,0.0,wfh,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,4.0
318,mern stack,fullstack developer,24.0,No Degree,Yes,No,10.0,Yes,4.0,wfh,Yes,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6.0
319,web development using python django + angular,full stack developer,22.0,Degree,Yes,No,9.0,No,4.0,wfh,Yes,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,6.0
320,mean stack,trainee engineer,22.0,Degree,Yes,No,10.0,No,1.0,bangalore,No,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,5.0
321,mobile development using flutter,software engineer,23.0,No Degree,Yes,No,10.0,Yes,7.0,bangalore,No,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,5.0
322,mobile development using flutter,senior flutter developer,22.0,No Degree,Yes,No,10.0,No,5.0,manjeri,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,5.4
323,mobile development using flutter,software engineer,22.0,No Degree,Yes,No,8.0,Yes,7.0,bangalore,No,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,4.5
324,mern stack,fullstack developer,23.0,Degree,No,No,10.0,Yes,2.0,bangalore,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
325,mobile development using flutter,junior flutter developer,23.0,Degree,Yes,No,7.0,Yes,7.0,bangalore,No,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,4.5
326,mern stack,software development engineer,23.0,Degree,No,No,9.0,Yes,2.0,bangalore,Yes,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
327,mobile development using android kotlin,android developer,22.0,No Degree,Yes,No,8.0,Yes,7.0,bangalore,Yes,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7.0
328,mern stack,mern stack developer,22.0,No Degree,Yes,No,7.0,Yes,7.0,chennai,No,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,4.8
329,mern stack,software engineer,21.0,No Degree,Yes,No,9.0,Yes,5.0,others,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,4.8
330,web development using python django,software development engineer,27.0,Degree,Yes,No,7.0,No,1.0,bangalore,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,5.5
331,mern stack,junior full stack developer,25.0,No Degree,Yes,No,9.0,No,7.0,bangalore,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
332,web development using python django + react,junior full stack developer,31.0,Degree,No,No,8.0,No,0.0,wfh,No,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4
333,machine learning,machine learning engineer,23.0,No Degree,Yes,No,9.0,No,0.0,bangalore,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,5.0
334,mobile development using flutter,flutter developer,22.0,No Degree,Yes,No,9.0,No,2.0,wfh,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,5.2
335,mern stack,software development engineer,24.0,Degree,No,No,10.0,No,1.0,bangalore,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,3.96
336,mern stack,software developer,22.0,No Degree,Yes,No,10.0,Yes,4.0,bangalore,Yes,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,4.8
337,mern stack,mern stack developer,23.0,Degree,No,No,7.0,Yes,2.0,manjeri,Yes,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6
338,mobile development using flutter,junior software developer,22.0,Degree,No,No,10.0,Yes,4.0,wfh,Yes,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,4.0
339,mobile development using flutter,flutter developer,23.0,No Degree,No,No,9.0,No,0.0,bangalore,No,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,6.0
340,mern stack,junior fullstack developer,22.0,No Degree,No,No,10.0,No,7.0,chennai,No,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,4.2
341,mern stack,software engineer,22.0,Degree,Yes,No,10.0,No,4.0,wfh,Yes,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6.0
342,mern stack,software development engineer,22.0,No Degree,No,No,10.0,No,5.0,manjeri,Yes,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,3.2
343,web development using python django + react,software engineer,22.0,Degree,No,No,11.0,Yes,1.0,chennai,Yes,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,6.0
344,mern stack,fullstack developer,23.0,No Degree,No,No,10.0,No,1.0,bangalore,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.2
345,mean stack,mean stack developer,22.0,No Degree,Yes,No,12.0,Yes,7.0,bangalore,Yes,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,4.2
346,mern stack,associate software engineer,24.0,Degree,No,No,10.0,No,0.0,pune,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6
347,web development using python django,bakcend developer,22.0,No Degree,Yes,No,7.0,Yes,4.0,manjeri,Yes,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,4.8
348,web development using python django,django developer,22.0,Degree,Yes,No,9.0,Yes,2.0,wfh,Yes,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,4.9
349,mern stack,associate software engineer,21.0,No Degree,Yes,No,7.0,Yes,4.0,manjeri,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.5
350,mean stack,junior fullstack developer,22.0,No Degree,Yes,No,9.0,Yes,4.0,bangalore,Yes,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,5.04
351,mern stack,fullstack developer,24.0,No Degree,No,Yes [ Non IT industry ],16.0,Yes,0.0,bangalore,Yes,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
352,mern stack,mern stack developer,22.0,Degree,Yes,No,10.0,No,7.0,manjeri,Yes,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,4.0
353,mern stack,junior software engineer,23.0,Degree,Yes,No,9.0,Yes,5.0,wfh,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2.5
354,web development using python django,junior software developer,24.0,Degree,No,No,12.0,No,0.0,wfh,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,6.5
355,mobile development using flutter,associate software,23.0,No Degree,No,Yes [ Non IT industry ],16.0,Yes,0.0,bangalore,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,4.2
356,mobile development using flutter,flutter developer,22.0,No Degree,Yes,No,9.0,Yes,7.0,bangalore,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,3.6
357,mobile development using flutter,software engineer,22.0,No Degree,Yes,No,10.0,No,0.0,bangalore,No,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,5.0
358,web development using python django,software engineer,22.0,No Degree,Yes,No,7.0,Yes,5.0,manjeri,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,5.3
359,mobile development using flutter,flutter developer,22.0,Degree,Yes,No,10.0,No,4.0,wfh,Yes,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,6.0
360,golang,associate product engineer,23.0,No Degree,Yes,No,10.0,No,0.0,wfh,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6.0
361,web development using python django,associate product engineer,22.0,No Degree,Yes,No,7.0,No,4.0,manjeri,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,6.0
362,mern stack,mern stack developer,25.0,No Degree,No,Yes [ Non IT industry ],16.0,Yes,0.0,bangalore,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,4.0
363,mean stack,fullstack developer,23.0,No Degree,No,No,14.0,Yes,2.0,wfh,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,4.0
364,mern stack,fullstack developer,24.0,No Degree,No,No,16.0,Yes,2.0,bangalore,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,4.0
365,mern stack,fullstack developer,22.0,Degree,No,No,12.0,No,4.0,wfh,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,3.0
